iter	Passed	Remaining
613	4568	2872
614	4575	2864
615	4582	2856
616	4589	2849
617	4596	2841
618	4603	2833
619	4610	2825
620	4617	2817
621	4623	2810
622	4630	2802
623	4637	2794
624	4644	2786
625	4650	2778
626	4657	2770
627	4664	2762
628	4671	2755
629	4677	2747
630	4684	2739
631	4691	2731
632	4699	2724
633	4707	2717
634	4713	2709
635	4720	2701
636	4727	2693
637	4734	2686
638	4741	2678
639	4747	2670
640	4755	2663
641	4762	2655
642	4769	2647
643	4775	2639
644	4782	2632
645	4789	2624
646	4796	2616
647	4802	2608
648	4809	2601
649	4816	2593
650	4822	2585
651	4829	2577
652	4836	2570
653	4843	2562
654	4850	2554
655	4857	2546
656	4864	2539
657	4871	2532
658	4878	2524
659	4885	2516
660	4892	2509
661	4899	2501
662	4905	2493
663	4912	2485
664	4919	2478
665	4926	2470
666	4933	2462
667	4940	2455
668	4947	2447
669	4953	2439
670	4960	2432
671	4967	2424
672	4973	2416
673	4980	2409
674	4987	2401
675	4994	2393
676	5001	2386
