iter	Logloss
0	0.6929687729
1	0.6927815499
2	0.6926059714
3	0.6923855419
4	0.6922023487
5	0.6920432825
6	0.6918969489
7	0.6917274331
8	0.691585459
9	0.691428595
10	0.6912928565
11	0.6911971786
12	0.6910652636
13	0.6909878363
14	0.6908775791
15	0.690789845
16	0.6906190107
17	0.6905146942
18	0.6903939831
19	0.6902792993
20	0.6902304164
21	0.6901006861
22	0.6900145787
23	0.6899268494
24	0.6898750174
25	0.6897919356
26	0.6897047622
27	0.6896316221
28	0.6895079143
29	0.6894454321
30	0.6893827529
31	0.689281562
32	0.6892068792
33	0.6891570258
34	0.6890370769
35	0.6889278641
36	0.688858827
37	0.6887782244
38	0.6886884846
39	0.6886034118
40	0.6885585194
41	0.6884897105
42	0.6884177423
43	0.6883457799
44	0.6882607066
45	0.6882050937
46	0.6881531111
47	0.6881105989
48	0.6880672959
49	0.6880388136
50	0.687979478
51	0.6879289807
52	0.6878643603
53	0.6878243381
54	0.6877918808
55	0.6876963355
56	0.6876423792
57	0.6875616438
58	0.6875371734
59	0.6874882707
60	0.6874509784
61	0.6873680115
62	0.6873193064
63	0.6872883175
64	0.6872588116
65	0.6872062558
66	0.6871778022
67	0.6871398244
68	0.6870833812
69	0.6870391554
70	0.6869789705
71	0.6869110038
72	0.6868416654
73	0.6867889927
74	0.6867553798
75	0.6867198025
76	0.686684154
77	0.6866406542
78	0.686585224
79	0.6865408738
80	0.6864823971
81	0.6864253541
82	0.6863838645
83	0.6862997037
84	0.6862258792
85	0.6861994962
86	0.6861635645
87	0.6861219362
88	0.6860739874
89	0.6860311453
90	0.685934033
91	0.6859154982
92	0.6858794536
93	0.6857974024
94	0.6857610791
95	0.6857210988
96	0.6856655428
97	0.6856119678
98	0.6855848482
99	0.6855317673
100	0.6854172235
101	0.6853787877
102	0.6853283231
103	0.685300564
104	0.6852209112
105	0.6851816894
106	0.685134956
107	0.6850647486
108	0.6850362875
109	0.6849515385
110	0.6849035893
111	0.684836114
112	0.6847303006
113	0.6846715956
114	0.6845871286
115	0.6845332293
116	0.684501253
117	0.6844311174
118	0.6843816527
119	0.6843031245
120	0.6842575499
